name,address,wifi_speed_mbps,socket_availability,noise_level,vibe_category,price_range
Warkop Syarif Delima,Pusong Lama,20,Medium,High,Social/Student,Cheap
Syeih Nyak Legend,Cunda,30,High,High,Legendary/Student,Cheap
Menara Kupi,Sp. Buloh Lhokseumawe,30,High,High,Social/Group,Cheap
Pyramid Kuphi,Jl. Medan - Banda Aceh,35,Medium,High,Social/Nobar,Cheap
Stadion Kopi,Jl. Stadion Tunas Bangsa,40,Medium,Medium,Sporty/Social,Cheap
Rumoh Tuha Roastery,Lhokseumawe,45,Medium,Low,Specialty Coffee,Medium
TB Kupi 24 Jam,Jl. Panglateh,25,Medium,High,Non-stop/Social,Cheap
CEK BOY KUPI,Lhokseumawe,20,Low,Medium,Local/Chill,Cheap
KOPIKA. CO,Jl. Merdeka Timur,45,High,Low,Creative/Work,Medium
Lumoa Coffee Roastery,Jl. Maharaja,45,Medium,Low,Modern/Quiet,Medium
Coffee Time,Jl. Pusong,35,Medium,High,Social/Sea Breeze,Cheap
Waroeng Kupi Bahagia,Banda Sakti,20,Medium,High,Social/Chill,Cheap
D'Royal Coffee Space,Jl. Pase,50,High,Medium,Full Power User,Expensive
dr. Kupi Espresso,Jl. Simpang Buloh,40,High,High,Social/Espresso,Cheap
BARA KOPI,Jl. Darussalam,45,High,Medium,Social/Group,Medium
Station Coffee Premium,Jl. Merdeka Barat,55,High,Medium,Deep Work/Premium,Expensive
Atra Warkop,Jl. Perdagangan,15,Low,High,Classic/Market,Cheap
Wahyu Kupi,Banda Sakti,20,Medium,High,Social/Relax,Cheap
Rex Min Cafe,Lhokseumawe,25,Medium,Medium,Social/Traditional,Cheap
PETRODOLLAR COFFEEATERY & ROASTERY,Jl. Merdeka No.1,40,High,Medium,Professional/Work,Medium
Culture Coffee,Alue Awe,60,High,Medium,Creative/Work,Expensive
Sudut Temu,Jl. Darussalam,50,High,Medium,Creative/Work,Medium
Kolega Coffee,Jl. Listrik - Hagu Selatan,35,Medium,Low,Deep Work,Medium